description_no,listing_id,description
364,1252740,"Private bedroom and connecting bath, new Seattle home (2005). Conveniently located at nexus of 3 of Seattle's best neighborhoods: Fremont, Wallingford, and Green Lake. FREE BUS PASS, internet, in-room TV, Tivo, Netflix, HBO, BluRay, and access to modern, shared kitchen. Convenient to 3 major bus lines. GAY FRIENDLY. Perfect location for exploring the city, visiting the University of Washington, relaxing at nearby parks (Green Lake, Gasworks, Woodland Park Zoo), or walking to some excellent eateries and coffee shops. Modern house, kitchen, and laundry facilities. Parking in driveway or on street. Very convenient to bus lines and one bus pass is included at no extra charge. Exclusive private use of bedroom and connecting bathroom. Shared use of adjacent ""office"" with guest computer. Downstairs space (kitchen, living room, 1/2 bath) will be available on a shared basis. The adjacent office also has a hide-a-bed for use by 2nd guest at no charge if sharing bed is not preferred (and any addi"
365,4250938,
366,3791920,"Remodeled and modern, our basement apartment has a private entrance, nicely equipped kitchenette, beautiful full bath and cozy bedroom. Located in the Wallingford neighborhood, we are an easy walk, bus ride or drive to all that Seattle has to offer. You'll have free reign of the private ~800 sq. ft. basement apartment of our 1908 craftsman home. The space has several nice sized windows to let light in - and black out curtains to help you sleep in or enjoy a movie on our giant projector screen. You'll enjoy a comfy queen sized memory foam mattress in the bedroom. We also have a raised queen sized air bed that can be set up in the living room area to accommodate an additional two guests - just let us know if you'll be needing this. Our location is a great jumping off point for exploring Seattle - a short walk gets you to two bus lines that head downtown to Seattle Center or Pike Place Market (or hop in your car and make the 10-15 minute drive). There's plenty to explore by foot too - enj"
367,4258762,
368,7364146,"Nestled in the heart of the Wallingford neighborhood, my home offers space for up 4 guests and features hardwood floors, granite countertops, new appliances, and a washer/dryer in unit! This home is located in a small, quiet building with a location that allows guest to take advantage of all the Wallingford livelihood while being just a short bus ride to the Downtown Seattle, Ballard, and more. Walk to coffee, food, bars, and shopping, or take a stroll to the Woodland Park Zoo. Unit features hardwood floors, granite countertops, new appliances, and washer/dryer in unit. This quiet apartment building location allows you to take advantage of all the Wallingford livelihood while being just a short bus ride to the Downtown Seattle, Ballard, or Greenlake areas. You will have access to the entire home - all to yourself. I'll primarily interact with you over email/phone/airBnb. I know my guests are on vacation and I try to keep communication minimal and to the amount that fits your needs! Wal"
369,6765045,
370,3193738,
371,8765219,"This Craftsman home is located in the prime Wallingford neighborhood. Large kitchen, bedroom, living room, back yard, and washer and dryer. There is a large couch in the living room for an additional guest. Enjoy!"
372,8174285,"Studio apartment in my historic and recently remodeled house on a corner lot in the heart of Seattle's charming Wallingford neighborhood. The apartment has a unique, modern style and is south facing with an open floor plan that allows for lots of light. Great option for folks visiting the UW, downtown Seattle, Amazon, Microsoft, or exploring Seattle's many neighborhoods. Great clean, simple, modern space in the interior.  Recently renovated and decorated. Enjoy the outdoors on the patio, and explore the neighborhood.  Music lover? Plug your smartphone into the stereo and rock out to the built-in speakers in the living room. Also for your entertainment pleasure you'll find a HUGE 48"" projector HDTV with the Netflix and all the Amazon Prime movies you can eat.  Take a refreshing shower in the modern, newly remodeled, shower.  Enjoy the heated floors in the bathroom. Spacious, fully equipped kitchen with all you'd ever need to cook a gourmet meal. Free and easy parking, free wifi. Come ov"
373,3403638,
374,7601333,"Sunny two bedroom, one bath bungalow with porch swing and private backyard located in desirable Wallingford neighborhood of Seattle. Walkable to many bars, restaurants, and parks. View of Lake Union from the street, walk to the water and relax! Bedroom One: Queen bed, sleeps two, clean sheets provided Bedroom Two: Queen air mattress, sleeps two, does not deflate, clean sheets provided Bathroom: Shower/Tub combo, clean towels provided. Shampoo, Conditioner, Soap, Toilet Paper all provided. Back room can  used as additional bedroom with provided air mattress, however has limited privacy since one wall has slided glass doors to the back yard. Great for excess kids. This is for sole and private use of the entire house and surround yard. So much to do! Family friendly, tree-filled neighborhood in beautiful Wallingford. (website hidden) Grocery Store - QFC (.7 mile) walk, drive, or bike Walk to Burke-Gilman Trail (.2 mile) pedestrian path (walk/run/bike only) traveling from Bothel to Seattle"
375,6707735,"Wallingford is minutes from downtown and even closer to UW, Greenlake and Lake Union. Our comfortable one bedroom basement apartment is on a dead end street next to a wonderful park. It features a private entrance, off street parking, and is pet friendly. Close to everything Seattle has to offer. James has worked in architectural salvage for many years. The first on the job to historic buildings,  homes, and business being torn down.  He has an eye for the diamond in the rough and you will see this in the homes surroundings and interior as he builds out of these salvaged materials.  Carolyn is a lifetime hospitality professional. From fine dining server to hosting events.  With her eye for comfort and style along with James' talent and resources we bring you a truly comfortable and welcoming space to stay. You will have access to your own apartment.  Separate entrance.  In the unit is a washer and dryer.  Off street parking is available with 24 hour notice. We like to give and respect "
376,7322718,"Three bedrooms, 1 bath, chef's kitchen and wonderful front yard fenced porch and garden.  Sleeps 5.  1 queen bed, 1 twin in back room, 1 twin in the front bedroom, 1 on the couch.   Walk to Greenlake for playground, water activities, running trails. The space is open and filled with good light.  This is a nonsmoking home including the grounds.  No pets.   All linens are high quality hypo allergenic. You will have free run of the house and the front yard.  The backyard and garage will be closed for owners personal storage. We are around if you have questions but we prefer to respect your privacy. Location is amazing.  Walk to Greenlake for running trail, playground, water activities or tennis. Tangletown restaurants 2 blocks.   Famous Wallingford farmers market is 8 blocks away on Wednesdays.  Fremont is about 1 mile.  University of Washington is also about 1 mile away.   Quick and easy bus downtown, Microsoft connector picks up on NE 56th in front of Tangletown Tavern right by Zoka cof"
377,3783162,"Welcome to Wallingford, one of Seattle's favorite neighborhoods. This home is 3 blocks from all you need --indie movie theater, restaurants, pubs, grocery store, and famous ice cream! 4 mins from UW and 10 to downtown. Great bus lines too! Enjoy! There are very few entire homes like this available in this area.  There are two queen bedrooms and a full bath on the main floor, with an additional queen bedroom and full bathroom downstairs.   The home has a kitchen, dining room, and a living room with couches and entertainment center.  There is a laundry room, as well as a large rec room.  The backyard is private and nicely kept.   I'm available by phone for questions or any issues that may arise.   Wallingford is a fantastic neighborhood with easy access to everywhere you need to be in Seattle. My home is located on a quiet street with ample parking, but is 3 blocks from a grocery store, coffee shops, and restaurants, 1 block to a great park with a play area and free tennis courts. Buses "
378,6606,"Soo centrally located, this is a little house  all your own ! This cozy,charming cottage for two has cathedral ceilings,skylight, and a french door overlooking the garden. We just redecorated for a mid-century  vibe ! Tho' only 17x10 ,it has wifi,tv,dvd,and ipod  stereo or laptop (URL HIDDEN) addition to the queen bed, small foam futon available for autonomous sleeping!.We try to provide for all your needs.The bath is newly remodeled w/ wet room, (kitchenette has a sink micro,toaster-oven ,Nespresso machine ( well, it is Seattle ,aka coffee town  !) and a half size fridge. You are ready for coffee,tea, a light breakfast and for takeout!!    Somehow ,it is 15 minutes to everywhere, downtown,ballard, capital hill..even closer to south lake union..The university district 1.5  mile away,fremont even closer! Downtown , 2 mi.,wallingfords shopping, movies and 15 + restaurants 5 blocks.    Our walk-ability score is 94, buses on corner, bikes available,yes,there is easy free street parking too"
379,3889280,
380,3971137,"This charming and vintage studio rental is located in a gorgeous 1906 historic Wallingford mansion, surrounded by great views of the city and the Cascade Mountain range to the east.  Complete with a full kitchen, large bed, and claw foot tub. This beautiful historic apartment has tons of natural light due to the large bay windows, tall ceilings, and gorgeous white hardwood floors. With antique accents all around the unit, including a claw foot tub and original brass framed murphy bed, you'll feel like you have gone back in time! This studio apartment will comfortably fit two people.  As a guest in this rental, you will have access to ample free street parking, coin operated washer and dryer, secure building access, vegetable garden in the large backyard, and fresh towels and linens. I will be free and able to meet with you and show you around the unit and the building upon your arrival. I am always free to contact via email, phone call, or text if you have any questions or concerns. Th"
381,3889050,
382,799882,"This is a large, room in the finished half of my basement. You control heating in the space. The bed is a good quality convertible couch, but some people have preferred to sleep on my air bed and leave the couch set up. You have access to all the shared spaces: living room, dining room, kitchen, main floor bath and spare room with piano and small desk. I sleep in an upstairs bedroom and my son who visits from college occasionally also has a bedroom up there. There will often be another guest in the main floor bedroom.  I have a lively, clean  dog.  The neighborhood is quiet, close to 2 really nice parks and several pubs and coffee shops and bus lines to downtown Seattle."
383,9508386,"Beautiful, comfy Craftsman home, where old-world charm meets modern comfort. Four queen beds with lovely sheets and duvets. Big kitchen with breakfast nook. Huge deck with grill. Keyless entry, fast wifi, on-demand cable, Apple TV, and foosball! Welcome to Tangletown! The house has four bedrooms, each with a queen bed and crisp cotton sheets. We think a good sleep is one of the most important parts of your stay, so you'll enjoy high-quality mattresses, with down-and-feather pillows and duvets. When you wake up and take a shower, you'll find Egyptian cotton towels in the bathrooms. If you like to cook, there's a funky, fully-equipped kitchen with stainless steel appliances, including a dishwasher. There's also a cute breakfast nook where you can enjoy your coffee with the morning sun. If the weather's good, step out onto the large back deck for a view of the yard, or to do some grilling on the barbecue. When you're ready to kick back, the living room has comfy leather couches and a TV w"
384,6714817,"Our apartment has recently been completely renovated and is located in the highly coveted Wallingford neighborhood. With a 10 minute drive to downtown Seattle, or a 15 minute walk to greenlake park, this apt is sure to be the perfect city oasis. 4 Night minimum for your stay.  Our apartment is located on 50th in Wallingford which is a fairly busy street. The windows are double paned making the noise mush less intrusive. The entire apt is yours! Wallingford is a neighborhood in north central Seattle, lying on a hill above the north shore of Lake Union about four miles from the downtown core. The neighborhood developed quickly during the early 20th century after the establishment of the University of Washington to the east. With trolley tracks laid through the neighborhood as early as 1907, Wallingford is a classic streetcar suburb, typified by its many 1920s era box houses and bungalows. Commercial development is primarily concentrated along 45th Street where a number of iconic structur"
385,3773700,"Modern family home in Seattle's friendliest, central neighborhood. Walkable to restaurants, cafes, and stores.  Green Lake, Lake Union, and University are 10 min walk away. Downtown is a 10 minute drive away. Great patio and grill for BBQ at home! Our cat, Gigi, will stay in the house. She's easy, friendly, and needs no special care."
386,3773568,"This unique home includes stunning vaulted ceiling living space, all modern appliances, a Japanese-style rock garden with koi pond, and hot tub! Very accessible location just minutes from downtown and easy walk to stores & the popular Greenlake park. This home was recently remodeled and updated, and infused with a variety of novel design elements. 2 full bedrooms with queen beds plus a sleeper sofa will accommodate 6 adult guests! Three bathrooms total, including a full, 3/4, and 1/2 bath. I'll likely be out of town during your visit, you'll have the space to yourself.  An agent may meet with you upon arrival to help you settle in. Quiet residential neighborhood with plenty of free parking!  Easy walk to shopping, Greenlake park,  and mere blocks from the I-5 freeway taking you anywhere in Seattle. Bus service to downtown located a few blocks away. Walking distance to coffee, bars, restaurants, groceries, and the beautiful Greenlake park! This home is NOT child-proof."
387,9313974,"Beautiful, light-filled room. New queen mattress. Fully furnished. All amenities provided, inc. sheets, towels, etc. Washer and dryer. Fully stocked kitchen, gas stove, formal dining room, living room, covered porches, garden. Surr by stores, cafes.. Charming 1920s home w fireplace, wood floors, new central heating. Outdoor, covered space, garden with chimenea. Access to heated basement: washer and dryer, space to work, additional toilet/commode and paint sink. I am happy to offer information about the city, the neighborhood, ideas for interesting days off, dates, nights out, trips in the area - such as the San Juan Islands...I work and travel a lot, so you will have a lot of solo time, but I am available for anything you might need. Tons of local restaurants, bars, cafes, stores, parks, clubs, live music, old movie theaters. I have a full list in the house and will add here soon! Wallingford has a Pharmaca, a QFC and tons of great stores. Fremont is a few minutes away and has a PCC an"
388,6492880,"Retro Greenlake Apt. is a one bedroom w/ queen bed & sleeper sofa downsstairs. The apt. is part of a craftsman home in the heart of Greenlake. Near restaurants, coffee shops, & 1/2 block from bus line downtown. This retro-style Greenlake Apartment is a one bedroom with a queen-sized bed and sleeper sofa downstairs, sleeping a total of 3 guests. The apartment is part of a craftsman home in the heart of Greenlake. A small kitchenette has a microwave, small ref., coffee maker, and dishes and silverware.  A small deck with a table for 2 is great for getting a breath of fresh air and sipping on your tea. This fantastic location puts you close to everything Seattle. There are plenty of restaurants in the area, including the Greenlake Bar & Grill, Fix Coffeehouse, Zoeyogurt,  Rosita's Mexican Grill, Lucia's Italian and many more around the lake. Little Red Hen, a bar which is just 15 minutes away on foot, has live country music shows regularly. You can also walk to East Green Lake Beach, the "
389,4879013,"2 bedroom, 1 bath art filled apt in a newly remodeled classic Seattle bungalow w/private entrance, gourmet kitchen and full bath with tub.  Comfortable beds, cable tv/HBO, laundry room, walk to great restaurants, coffee shops and nearby playground. Art filled private mother-in -law apartment with separate entrance and address located in Green Lake.  Everything is brand new as house was just completely remodeled.  2 very quiet bedrooms with new comfortable beds and lots of pillows and extra blankets.  Full bathroom has tub/shower combination and separate water heater from main house and is stocked with lots of towels, a few emergency amenities and a hair dryer.  All rooms have their own heat controls so everyone is comfortable and heat source is separate from main house.  The kitchen has a gas range, full fridge with ice maker and dishwasher.  New toaster oven microwave and coffee maker and electric kettle for the tea drinkers.  We supply a few snacks, some instant oatmeal and ground co"
390,3732094,
391,873073,"Beautifully bright and airy craftsman home on a quiet street in the centrally located Wallingford neighborhood near UW. Easily accommodates 4 people.                   This bright and beautiful Craftsman home in Wallingford has 2 bedrooms, 1 bathroom and large living and dining area. It can easily accommodate 4 people. From the large master suite upstairs you can enjoy a great south-facing view of Lake Union and downtown Seattle. The home is located on quiet street in a residential neighborhood which is centrally located- very close to UW, bus stops to downtown, and a convenient 5 min walk to the many Wallingford shops, bars and restaurants and only a 20 min walk to the trendy Fremont neighborhood. The scenic Gasworks Park is just 5 minutes away and offers fantastic views of downtown Seattle and the seaplanes on Lake Union. The Burke-Gilman Trail (run, bike, blade), is right in front of the park, and can lead you west via Fremont (1 mile), Ballard (2.5 miles), to Shilshole Bay Marina a"
392,234898,"Modern apartment with great amenities. Large and private full bathroom. A block & a half off of 45th (1 mile from UW). Free Wi-Fi and laundry. Easy street parking. Open, spacious, safe, good natural lighting, newly renovated. Please inquire only if you have a complete profile. We are very close to Greenlake. Easy access to I-5 and local bus lines, 12 minutes to the University District and 25 minutes to downtown by bus. 3-10 minute walk to coffee shops, bars, and corner grocery. 20-minute walk to Greenlake. Bike everywhere easily. Japanese students and tourists are welcome. æ—¥æœ¬ã®å­¦ç”Ÿã¨è¦³å…‰å®¢ã¯OKã§ã™ï½¡ I have great recommendations for spa treatments and massage with licensed providers to make your occassion even more restful.  PLEASE READ BELOW I appreciate all the inquiries, but unfortunately I cannot hold inquiries on the calendar. The calendar fills up very quickly. You must make a reservation in order to guarantee your time at the studio. I respond usually within a few hours and reservations are"
393,8533375,
394,6854019,"Our home is located perfectly for you to enjoy all that Seattle has to offer! It comfortably fits a family or couples traveling together. It's located just a few blocks from Green Lake or all the shops and restaurants in Wallingford! Hello! My husband and I are happy to host you in our beautiful Green Lake home. We have a spacious home boasting 3 bedrooms, 3.5 bathrooms, living room, family room, dining room and well-appointed kitchen. The space is located on the first and second levels of our home. The first bedroom has an attached bath and queen-sized bed. The second bedroom has a full-sized bed and an adjacent full bathroom. The third bedroom has an attached bath and queen-sized bed. We also have a high quality, large queen air mattress available, should you need additional sleeping space. There is also a playroom filled with toys suitable for kids! We can also provide a portable crib (pack-n-play), stroller or other baby toys/books if needed for your stay, just ask! Our home is loc"
395,8418650,"Updated 2 bedroom duplex unit in popular Wallingford, minutes away from University District, Fremont, and Greenlake restaurants, shops, parks, and walking/biking trails. The private backyard is the perfect place to entertain during your visit. This is a two-bedroom, recently updated apartment in a spacious light-filled duplex with one queen bed and two twin beds - all with new memory foam mattresses, private bath with tub and shower, private entry, enclosed patio, full kitchen, and updated furnishings. Amenities include on-site parking, wireless internet, 49' flatscreen smart TV, local cable, HBO, heating, hair dryer, linens, and combination washer/dryer.  The updated and fully furnished kitchen offers coffee, tea and a few non-perishable staples to get you started if you choose to cook in.  The private back yard has 2 decks, a swing, and plenty of seating. Like an active lifestyle?  You will find books outlining bike routes, hikes, and walks in the area.  Text me to get even more rout"
396,3732076,
397,4608592,"Our mid-century duplex is completely updated inside.  Located within walking distance of the UW, it's also conveniently located near bus lines to downtown.  Cook in a full kitchen with new appliances or visit the many restaurants in Wallingford. When we bought our duplex it was in need of a little love.  We've spent the last two years updating everything inside.  We list our guest count as 6 people, with the idea that families need booking flexibility.  We prefer to book parties with 4 adults or fewer. Street parking is abundant after 5:00 p.m., but can be tricky on a school day.  If you need to park on our driveway until a space opens up, that's fine.   We live in the other half of the duplex with our school-aged children.  If there is anything you need, ring the bell or text me.  I want to make your stay as joyful as possible. I love being within walking distance of the UW and Wallingford.   The #26 bus is around the corner from us and there are other buses to downtown a few blocks a"
398,4862719,"Private bedroom with a full bed in the basement suite of our recently renovated craftsman home. The suite has two rooms, both rentals through Airbnb. It can comfortably accommodate 4 guests.  Private bedroom with a full bed in the basement suite of our recently renovated craftsman home. The suite has two rooms, both rentals through Airbnb. Each room can comfortably accommodate 2 guests.  The suite includes a shared kitchen, living room, laundry room, and bath room. Internet access and parking are included.  Both my husband and I work from home, so usually one of us is here to great guests. The door has a code for guests arriving at late hours. Our home is within walking distance of Greenlake (10 min.), and several wonderful restaurants and cafes.  Greenlake is wonderful recreational area. Excellent for walking, cycling, or running. There is also a rental area for small water crafts and a playground and pool nearby. Woodland Zoo is a short walk from Greenlake. Over the summer Woodland Z"
399,668169,"Quiet street near the lake, coffeeshops, restaurants, bars, transit, I-5, UW. Large room with east facing windows to tree lined back yard. One of the quietest areas of Seattle but close to almost everything. Hardwood floors. Week/month discounts. This is for the larger upstairs room at our house. You can click on my main profile to see all the various positive reviews for the house overall which may be more recent.  https://www.airbnb.com/users/show/946910#reviews  We discount the rates a lot for weekly or monthly stays but Airbnb doesn't really show that til you put in your dates properly so check it out.   ~~~~~~~~~~ Quiet updated craftsmen house in the beautiful Wallingford / Greenlake neighborhood. Great walking score, one of the best areas to stay in a restful, quiet neighborhood near the lake.  Few blocks to best coffeeshops like Zoka, the lake for walking, swimming or biking (3+ mile trail), Woodland Park Zoo, and 1 short block to main bus line to get downtown or to University o"
400,429453,"Sunny bedroom with a downtown view in a 2,000 square foot house with decks, balconies, and porches. The house is on a corner lot in the heart of Seattle's charming Wallingford neighborhood and features an airy floorplan and an eclectic decor. This listing rents out a sunny bedroom in my house is on a corner lot in the heart of Seattle's charming Wallingford neighborhood.   Right now I'm doing a minimum stay of 5 days and looking for folks who are in town for work or a longer stay. The house is south facing with an open floor plan that allows for a lot of light- a huge bonus in Seattle.  Enjoy commanding views of downtown, Mt. Rainer (on sunny days), the Cascades, and the gorgeous Aurora Bridge.  Enjoy the outdoors on the rocking chairs while sitting on the covered front porch, grill out on the back deck, or drink in the views from the bedroom balcony. Great option for folks visiting the UW or exploring Seattle's many neighborhoods. I am offering a special rate while I try out the airbn"
401,10124808,"This cozy space has great views, a large closet, a very comfortable double bed, a small fridge, and coffee/teamaking appliances. An entryway room has a small single bed, in addition. The bathroom, on the main floor, has tub and shower. Tall people should take note of the limited headroom in this attic space. There's plenty of room to spread out with a laptop or your favorite book. The backyard is fully landscaped and has patio chairs. Since I work at home, I'll be available to suggest points of interest and advise on navigation. Otherwise, you can have as much privacy as you like. This neighborhood (Wallingford) is only a few miles from downtown Seattle and is adjacent to Fremont and the University of Washington. Lake Union and its scenic shoreline are a few blocks away. Good restaurants are within easy walking distance of the house. If you're driving: I have a guest parking pass for street parking--no charge. Parking space can be limited at peak times. If you're using public transport"
402,7459684,
403,5992645,"Charming 1908 Craftsman Bungalow close to Green Lake. 3 blocks to Tangletown restaurants + shops and just a few more to Green Lake. Old World charm with beautiful fir floors, stained glass windows, and crown molding. 2 bed, 1 bath, 886 sq ft. Charming 1908 Craftsman Bungalow close to Green Lake. 3 blocks to Tangletown restaurants + shops and just a few more to Green Lake. Old World charm with beautiful fir floors, stained glass windows, and crown molding. 2 bed, 1 bath, 886 sq ft. Layout maximizes space with living and dining rooms. California built-in closets in both bedrooms. Backyard oasis with designer touches, Trex Decking, flagstone patio, and a hot tub creates an extra outdoor living area year round... Allergies or sleep sensitivity? 100% botanical latex core mattresses, toxin and chemical free, made of natural materials with organic cotton fabric cover. Wool mattress pad which helps regulate your sleeping temperature and is very comfortable. 2 Natural Latex pillows on each bed "
404,7917718,"Comfortable room in newly renovated craftsman home with new bed and usable desk/work-space, spacious closet, tons of light, free parking.  Close to Gasworks Park, Lake Union and Green Lake.  One bus to downtown.  Seconds to I-5 and U-District. This charming room in a big beautiful Wallingford home is complete with a brand new memory foam mattress, large desk/work space, dresser and walk in closet.   We kind of have a thing for plants.... Towels, linens, soaps and toiletries are provided.  Washer and dryer in dry, heated basement. The house has wifi, a big open kitchen, dining area, living room and reading room.  There is a fenced in back yard, and terraced front yard. The entire main floor is open to guests, with the exception of one bedroom. Feel free to use the kitchen, you're welcome to cook.  Cleaning supplies are under the sink next to the dishwasher :). We are social, but respectful.  There are often friends and family in the home, laughter and music, but never at odd hours or ex"
405,2986056,
406,2011193,"Our sweet craftsman style home is your oasis!  We Have 2 bedrooms on the main floor and one basement below.  Our cozy home offers two kitchens, two bathrooms and a gas fire.  You will be staying in one of the best neighborhoods in Seattle.  Our place can comfortably fit 7 adults!  We have one queen size bed, one double bed, a single bed, a toddler bed and a double air mattress.  Kids under 5 stay free! Guests have access to a back patio. We will be in contact with you whenever you need us! Our neighborhood is 100% walkable!  We are walking distance from coffee shops, tea shop, restaurants of all kinds, a grocery store and many gift shops.  Also, walking distance from 3 amazing parks and Seattle's own organic Tilth garden, farmer's market, and Gasworks Park! We are directly on bus routes that take you to University of Washington, downtown Seattle, Fremont, Ballard and Capital Hill!"
407,3768626,"This comfortable studio apt in the Green Lake neighborhood is the perfect spot to call home during your stay in Seattle.  Easy access to Wallingford, UW, Downtown, Fremont and Lake Union.  Highly walkable neighborhood.   Queen Bed with a memory foam mattress. Plenty of storage in both dresser and closet. Small kitchenette area with plates, utensils, mini fridge, toaster oven, electric kettle, and coffee maker. Laundromat 3 blocks away should you need to wash your clothes. We do have Wi-Fi but there is no television or land line phone. Plenty of free street parking available.    We live in the adjoining house if you need anything but the studio is completely separate and has private access so you can come and go as you please. We are centrally located with parks, restaurants, coffee, seasonal farmers market, libraries, and shopping within walking distance. We've got all the insider tips to getting the most out of your stay and are happy to interact and share them with you. We are less t"
408,2026794,"Charming funky cottage in the heart of one of Seattle's best neighborhoods, Wallingford. While there is plenty of parking, you may not even need your car to enjoy what Seattle has to offer, as my 1905 home has a Walk Score of 91 and Bike Score of 85. This is one of the original houses in the Wallingford neighborhood, built in 1905.  It was built at the very back of the lot (though in 1905 it was at the base of a small hill, now my neighbor's back yard), and subsequently has a big front yard and plenty of air space around the house.  Many of the houses in Wallingford are built quite close together, but my house has clear access to sunshine and garden views, particularly on the south side. The neighborhood used to be covered by an apple orchard, and we have one of the original trees, a Gravenstein apple tree. Since this is a room in a house, you have full access to the shared places in the house:  kitchen, living room, yard.  You know, like a normal house. While I'm quite social, I can a"
409,9154294,
410,430610,"Stellar new modern new construction with roof deck, and 3 full bedrooms and  baths!  88 walkscore!  You'll have the whole home to yourself.   We prefer longer stays.  4 nights or longer for dates passing through weekends. Cool new construction in Wallingford! From the innovative Plan Room of Build Urban, this ultra-efficient home achieves 5-Star Built-Green rating - triple pane windows, HRV unit for interior air quality, low VOC paint/sealants, pervious pavement & concrete floors with radiant heat throughout. Elegant exposed beams & open stairs with custom metal rails. Dream kitchen w/ island, stainless appliances and gas 5 burner range. Unreal city views for from the huge (private) rooftop deck. Central Wallingford location.  Walk everywhere.  Gas Works, Troll, Fremont, 45th street shops and restaurants, Green Lake. Things you want to know:  3 bedrooms, garage parking, and room for another car out front. roof top deck with sink and stunning city + lake views.  The small looking bedroo"
411,3231850,"At last, our tools are put away and our carriage house is ready for you!  We're sure you'll love this surprising loft space with brilliant natural light, unique custom furnishings and a cozy sleeping loft. Less than a 10 minutes walk to Green Lake. We built the carriage house as a dual purpose space, a studio for our hobbies in the off-season and a fun & restful accommodation for you in the beautiful Seattle summer!   Jon built nearly everything you see, the walls, countertops, bathroom, nightstands...even the narrow loft windows from a set of old farmhouse doors. Guest may enjoy the full privacy of the carriage house and are welcome to share the backyard with us.  The adjacent driveway is not available to guests at this time.  But parking is free and easy to find within less than 50 yards of the carriage house door.  The best part of airbnb for us is learning where are guests are from, what they do, what they liked about their stay!  We can be found at home most nights with our toddle"
412,2976798,"You'll have the entire downstairs of this lovely 1920's Craftsman home located two blocks north of Lake Union and walking distance to University of Washington. Local bus into the city and neighborhood coffee shop are within 2 blocks of my home.  Proximity to Lake Union, University of Washington and downtown Seattle. Queen size bed in bedroom.  Double futon available to sleep two in Den ($10/night extra). Two night minimum stay. Entire downstairs cozy space. Hostess available and present during guest stay. Welcome opportunity to Seattle highlights and assist with travel arrangements. I love the proximity to the city, downtown area, and easy accessibility to freeway and alternate routes to the city. Public transportation is readily available within a few blocks. Small bathroom with shower across hall from bedroom. Free parking on premises. Coffee, tea and snacks  are available in den."
413,703058,"2 bedroom 1 bathroom house on quiet street, steps from bus stop to downtown. Walk to Wallingford shops/restaurants or to trendy Fremont. Located a mere 4.5 miles from downtown Seattle, the highly coveted Wallingford neighborhood is bustling with restaurants, cafes, pubs, bookstores, boutique wine/beer shops, clothing shops, grocery stores (open 24/7 : a 15 minute walk), farmers' markets (summer only), and much more. More than 50 eateries ranging from sandwich shops to white tablecloth fine dining are within a leisurely 15 minute stroll (half mile) from the house. You'll need two minutes to reach La Cantinetta, a hip Italian place with a lively bar, 8 minutes to The Essential Bakery for their fresh croissants, bread, and espresso, 15 minutes to the famous Molly Moon ice-cream shop. Expand your walk to 25 minutes (one mile) to the funky Fremont neighborhood with its eclectic outdoor art, numerous restaurants, clothing shops, and music venues. The year round Sunday Flea Market is a local "
414,7826541,"Perfect location at this great cozy condo with views of the city and Lake Union just outside your door and even better views from the roof. Gas Works Park, Burke-Gilman trail, UW & trendy Fremont are all right here! BBQ on patio is a plus! Roof deck access! I can do an airport pickup or drop off and guide you around the city. Restaurant suggestions are my specialty."
415,240920,"Cozy room with private balcony in the trees. Includes use of adjacent sitting room w/ table. Very quiet street, craftsmen house near all the best coffeeshops and restaurants Greenlake, Woodland Zoo, grocery, Easy bike or bus to UW. Quiet street. Near Greenlake. Nice quiet remodeled craftsmen house with hardwood floors in the beautiful Wallingford/Greenlake neighborhood which is walking distance to the lake and Woodland Park Zoo.   One of the safest and quietest areas of Seattle without being far out from the fun stuff.  Easy to bus or walk from here, no car needed (but we have free easy street parking).  We have a small back yard, patio for a cup of tea and plenty of sunshine on the covered/shaded front patio/porch area. BBQ in back too.  Shared kitchen and dining room is nice for cooking. Upstairs rooms have access to the Reading Room with a couch, table, chairs, and nice south facing windows for brunch.  Easy access from the airport too, just take the Light Rail to downtown and grab "
416,6655233,"Our house is perfect for anyone visiting Seattle without a car.  Enjoy a quick commute to downtown via bus or a 20 minute walk to the University of Washington.  Wake up in the morning to run, bike, or swim Green Lake and then come grill with us in the backyard! The Latona House is comfortable, quiet, and convenient to everything!  We have 2 rooms that are available for air B and B guests: the lavender room downstairs has wood floors and one queen bed.  The teal room upstairs has carpet and one queen and one twin bed. A sit on top kayak and 2 bikes There is always someone around to chat or give directions! We are in the middle of a great area: the UW, the shops and cafes of Wallingford, and swimming or walking around Green Lake.   For those in search of nightlife, downtown and Capitol Hill are a 15 minute drive away. 26 and 16 buses to Northgate, Fremont and downtown Seattle are only a few blocks away!"
417,9866461,"This is a large studio with everything you need. A queen size bed and a sofa bed allow at most 4 people to stay here.PS4, kitchen amenities, wifi, closet, clean toilet.. The location is also very good. Close to I-5 and major bus stops. Free Parking! Large windows. Plants. Warm. Cute interiors. Shared garden. Shared laundry room with a vending machine. Yes, I would love to offer recommendations. Available through email or cell phone. Very friendly, safe, and quiet neighborhood with many tasty and affordable cafes and restaurants nearby. 24-hour market QFC and gas stations nearby. Close to freeway and public transportations.  Walking, biking, and driving friendly. Free parking available. Decorated for Christmas! Plenty of pillows. The apartment is very secure. (used to be a hotel)"
